Brocha;NBrochasHSS;NDiscos;NUsos;USDutchman;BrochaSN;OrdenFabricacion;PartNumber;NUso;NBrochaHSS;NDisco;FBrochado;DUMMY;Dutchman;Maquina;TpoIndexador; Utillaje;XC;ZC;BC;CC;XCMM;ZCMM;BCMM;CCMM
011.0077.300;2;2;11;7;E0388;222415007;14144442;5;2;1;2023-10-05 03:12:22.670;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;-0.32;0.07;-0.01;-0.02;-0.3;0.04;-0.02;-0.02
011.0084.300;1;6;9;7;WK9005;222412739;14126834;5;1;2;2023-10-05 03:19:24.730;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.09;0.07;0;0;0;0.01;0;-0.01
011.0084.300;1;6;9;7;WK9005;222415234;14126834;5;1;3;2023-10-05 03:35:18.797;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.09;0.08;0;0;0;0;0;0
011.0082.300;2;2;11;7;E0492;DUMMY;14131674;1;1;NULL;2023-10-05 07:12:01.740;VERDADERO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0032;0.4;0.04;0.4;0.04;-0.42;-0.05;0;-0.03
011.0082.300;2;2;11;7;E0478;222413267;14131672;10;2;2;2023-10-05 07:12:41.667;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0029;-0.26;0.15;-0.02;-0.01;-0.137;0.022;-0.014;0.005
011.0084.300;1;6;9;7;WK9005;222415232;14126834;5;1;4;2023-10-05 08:26:28.593;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.09;0.08;0;0;-0.09;-0.01;0;0
011.0070.300;2;2;11;7;E0476;222411895;14135691;10;2;1;2023-10-05 08:44:56.847;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0017;0.16;0.07;0.02;-0.02;-0.702;-0.034;-0.058;0.034
011.0082.300;2;2;11;7;E0492;222411900;14131674;1;1;1;2023-10-05 13:50:18.353;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0032;-0.1;-0.01;0.03;0.01;-0.362;0.023;-0.036;-0.017
011.0084.300;1;6;9;7;WK9005;222412800;14126834;5;1;5;2023-10-05 16:08:33.850;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.18;0.07;0;0;0;0;0;-0.005
011.0077.300;2;2;11;7;E0388;222415373;14144442;5;2;2;2023-10-05 16:40:50.360;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;-0.6;0.07;-0.03;-0.02;0;0.03;0.01;-0.02
011.0109.300;2;2;9;7;E0407;222412577;14173285;2;2;2;2023-10-05 21:09:38.100;FALSO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0747;0.2;-0.06;0.01;-0.02;0.36;0.07;0;-0.04
011.0082.300;2;2;11;7;E0492;222411899;14131674;1;1;2;2023-10-05 23:12:20.153;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0032;-0.46;0.01;-0.01;0.01;-0.06;0.04;-0.01;-0.01
011.0070.300;2;2;11;7;E0476;222415208;14135691;10;2;2;2023-10-06 07:03:11.923;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0017;-0.54;0.06;-0.04;-0.02;0.45;0.09;0.03;0.05
011.0114.300;2;2;16;12;E0457;DUMMY;14173285;1;2;NULL;2023-10-06 07:30:22.143;VERDADERO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0747;0.3;-0.03;0.03;-0.02;-0.19;-0.03;-0.04;0.02
011.0114.300;2;2;16;12;E0457;222412575;14173285;1;2;1;2023-10-06 07:32:26.750;FALSO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0747;0.09;-0.06;-0.01;0;0.13;0.02;0;-0.02
011.0084.300;1;6;9;7;WK9005;222415235;14126834;5;1;6;2023-10-06 07:50:21.553;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;0;0.07;0;0;0;0;0;0
011.0077.300;2;2;11;7;E0484;DUMMY;14144442;8;1;NULL;2023-10-06 10:30:31.237;VERDADERO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0014;0.2;0.07;0.02;-0.02;-0.5;-0.03;0;0.02
011.0070.300;2;2;11;7;E0452;222411163;14160218;11;2;1;2023-10-06 10:40:50.640;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0016.01;0.65;0.06;0.09;-0.02;-0.41;-0.03;-0.04;0.04
011.0082.300;2;2;11;7;E0432;222405818;14152398;11;1;1;2023-10-06 12:42:52.457;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0734;0.25;0.07;-0.01;-0.01;0.09;-0.05;0.02;0
011.0114.300;2;2;16;12;E0457;222412576;14173285;1;2;2;2023-10-06 16:57:13.250;FALSO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0747;0.22;-0.04;-0.01;-0.02;0.04;0.02;0;-0.03
011.0084.300;1;6;9;7;XA9018;222415238;14126834;4;1;1;2023-10-06 19:50:53.830;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.15;0.02;0;0;-0.09;0.04;0;0.01
011.0082.300;2;2;11;7;E0487;222413738;14129565;4;1;1;2023-10-06 23:41:29.213;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0031;0.1;0.12;0;0.02;-0.213;-0.002;0.011;-0.018
011.0077.300;2;2;11;7;E0484;222415375;14144442;8;1;1;2023-10-07 03:50:31.900;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0014;-0.3;0.07;0.02;-0.02;0.3;-0.05;0.02;0
011.0082.300;2;2;11;7;E0432;222405820;14152398;11;1;2;2023-10-07 04:41:50.697;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0734;0.31;0.02;0.01;-0.01;0;0;0;0
011.0070.300;2;2;11;7;E0452;222411164;14160218;11;2;2;2023-10-07 08:41:49.467;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0016.01;0.35;0.03;0.04;-0.02;0;0.03;0.01;0.04
011.0082.300;2;2;11;7;E0487;222412561;14129565;4;1;2;2023-10-07 10:44:00.920;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0031;-0.34;0.12;-0.01;0.02;0.3;-0.02;0.03;-0.01
011.0077.300;2;2;11;7;E0484;222415560;14144442;8;1;2;2023-10-08 22:44:36.517;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0014;0;0.07;0.03;-0.02;0.09;-0.02;0.02;-0.02
011.0082.300;2;2;11;7;E0492;222410758;14131673;1;2;1;2023-10-08 23:35:10.663;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0030;-0.1;0.03;-0.02;0;0.2;-0.04;0.01;-0.01
011.0084.300;1;6;9;7;XA9018;222415288;14126834;4;1;2;2023-10-09 03:17:03.027;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.23;0.06;0;0.01;0;0.02;0;-0.03
011.0082.300;2;2;11;7;E0487;222415224;14129565;4;2;1;2023-10-09 03:44:11.777;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0031;0.4;0.12;0.01;0.02;-0.62;-0.04;-0.01;-0.02
011.0077.300;2;2;11;7;E0465;222415370;14144441;1;2;2;2023-10-09 04:38:56.557;FALSO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0756.01;0;-0.03;-0.05;0.02;-0.02;0.01;0;-0.02
011.0070.300;2;2;11;7;E0464;222413271;14135691;4;1;1;2023-10-09 04:54:39.507;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0017;0.6;0.06;0.08;0;0.21;0.05;0.01;0.04
011.0082.300;2;2;11;7;E0487;222412537;14129565;4;2;2;2023-10-09 09:17:40.747;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0031;-0.22;0.08;0;0.02;-0.03;0.02;0;-0.02
011.0070.300;2;2;11;7;E0464;222415207;14135691;4;1;2;2023-10-09 11:28:00.137;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0017;0.81;0.06;0.09;0;0.2;0.07;0.03;0.03
011.0070.300;2;2;11;7;E0429;DUMMY;14135692;10;1;NULL;2023-10-09 17:58:19.890;VERDADERO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0018;0.5;0.06;0.07;0.02;-0.185;0.06;-0.027;0.009
011.0082.300;2;2;11;7;E0486;222415221;14129565;1;2;2;2023-10-09 19:49:20.403;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0031;0.07;0.09;0.03;0.02;0.065;0.002;0.006;-0.01
011.0070.300;2;2;11;7;E0429;222415214;14135692;10;1;1;2023-10-09 20:38:21.590;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0018;0.559;0.06;0.079;0.02;-0.23;0.046;-0.04;-0.001
011.0070.300;2;2;11;7;E0468;222414332;14135690;2;1;1;2023-10-09 20:52:44.120;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0016.01;0.69;-0.052;0.038;0.06;0.2;-0.03;0.006;-0.006
011.0082.300;2;2;11;7;E0492;222413732;14131673;1;2;2;2023-10-09 22:09:46.087;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0030;0.1;-0.01;-0.01;0;0.058;0.07;-0.006;-0.016
011.0084.300;1;6;9;7;XA9018;222415233;14126834;4;1;3;2023-10-09 22:45:56.627;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.23;0.08;0;-0.02;0;0;0;0.021
011.0077.300;2;2;11;7;E0484;222413257;14144442;8;2;1;2023-10-10 01:05:38.773;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0014;0;0.07;0.03;-0.02;-0.025;-0.038;0.011;-0.004
011.0102.300;1;4;6;6;XA9019;222411259;14125166;1;1;3;2023-10-10 02:59:54.117;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0012;0.25;-0.06;-0.01;0.03;-0.136;0.019;-0.01;0.011
011.0070.300;2;2;11;7;E0429;222415212;14135692;10;1;2;2023-10-10 06:24:34.623;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0018;0.329;0.06;0.039;0.02;0.006;0.05;-0.01;-0.009
011.0070.300;2;2;11;7;E0468;222416373;14160218;2;1;2;2023-10-10 08:37:08.463;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0016.01;0.733;-0.048;0.044;0.06;0.215;-0.027;0.013;-0.002
011.0070.300;2;2;11;7;E0464;222413275;14135691;4;2;1;2023-10-10 11:52:01.600;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0017;0.531;0.06;0.075;0;-0.125;0.013;-0.023;0.02
011.0077.300;2;2;11;7;E0484;222415009;14144442;8;2;2;2023-10-10 17:21:17.387;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0014;-0.025;0.07;0.041;-0.02;0.123;-0.087;0.017;-0.018
011.0084.300;1;6;9;7;XA9018;222415231;14126834;4;1;4;2023-10-10 19:25:48.637;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.23;0.08;0;0;0.071;-0.006;0.016;0
011.0070.300;2;2;11;7;E0468;222414333;14135690;2;2;1;2023-10-10 20:53:24.360;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0016.01;0.843;-0.035;0.04;0.06;0.098;-0.032;0.009;-0.011
011.0070.300;2;2;11;7;E0429;222412654;14135692;10;2;1;2023-10-10 22:58:55.737;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0018;0.4;0.06;0.054;0.02;0.016;-0.091;0.002;-0.008
011.0102.300;1;4;6;6;XA9019;222411260;14125166;1;1;4;2023-10-11 00:27:24.247;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0012;0.114;-0.041;-0.02;0.06;0.017;-0.023;-0.001;-0.01
011.0070.300;2;2;11;7;E0464;222414328;14135691;4;2;2;2023-10-11 03:07:42.613;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0017;0.406;0.06;0.052;0;0.152;0.06;0.016;0.031
011.0070.300;2;2;11;7;E0468;222414334;14135690;2;2;2;2023-10-11 09:43:30.287;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0016.01;0.941;-0.067;0.049;0.06;0.034;-0.032;0.005;0.007
011.0070.300;2;2;11;7;E0429;222415215;14135692;10;2;2;2023-10-11 12:35:13.807;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0018;0.416;0.06;0.056;0.02;0.04;-0.094;0.002;-0.007
011.0084.300;1;6;9;7;XA9018;222408242;14157930;4;1;6;2023-10-11 13:32:57.873;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0740;-0.21;0.08;0;-0.01;0.022;-0.02;0.005;-0.007
011.0070.300;2;2;11;7;E0479;222414327;14135691;9;1;1;2023-10-11 15:03:38.977;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0017;-0.312;0.06;-0.024;0;-0.047;-0.033;-0.011;0.022
011.0070.300;2;2;11;7;E0450;222407637;14135692;4;1;1;2023-10-11 19:23:32.010;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0018;0.347;0.06;0.068;0.02;-0.176;-0.045;-0.024;0.001
011.0077.300;2;2;11;7;E0470;222415371;14144441;10;1;1;2023-10-11 21:29:01.640;FALSO;VERDADERO;FORST 1;IND-7 WALTER 700;UBR.0756.01;0.141;-0.046;-0.006;0.02;0.002;0.02;0.001;0.009
011.0077.300;2;2;11;7;E0379;DUMMY;14144442;1;1;NULL;2023-10-11 23:13:30.147;VERDADERO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;0.6;0.07;0.06;-0.02;-1.872;-0.079;-0.147;0.021
011.0077.300;2;2;11;7;E0379;DUMMY;14144442;1;1;NULL;2023-10-11 23:25:31.407;VERDADERO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;-0.6;0;-0.06;-0.02;-0.752;-0.001;-0.04;0.015
011.0070.300;2;2;11;7;E0479;222413270;14135691;9;1;2;2023-10-11 23:56:03.783;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0017;-0.359;0.06;-0.035;0;0.242;-0.02;0.037;0.022
011.0077.300;2;2;11;7;E0470;222415015;14144441;10;1;2;2023-10-12 03:17:04.100;FALSO;VERDADERO;FORST 1;IND-7 WALTER 700;UBR.0756.01;0.143;-0.026;-0.005;0.02;0.028;0.001;0.003;-0.008
011.0077.300;2;2;11;7;E0379;222415562;14144442;1;1;1;2023-10-12 04:03:40.490;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;-1.3;0.07;-0.1;-0.02;0.219;-0.047;0.021;0.044
011.0077.300;2;2;11;7;E0470;222415369;14144441;10;2;1;2023-10-12 09:39:10.277;FALSO;VERDADERO;FORST 1;IND-7 WALTER 700;UBR.0756.01;0.9;-0.05;0.1;0.02;-0.2;0.026;-0.025;0.012
011.0070.300;2;2;11;7;E0479;222413276;14135691;9;2;1;2023-10-12 11:30:17.687;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0017;0.558;0.06;0.017;0;-0.583;-0.023;-0.012;0.017
011.0084.300;1;6;9;7;WE9015;222415237;14126834;7;1;1;2023-10-12 11:54:59.950;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;0.14;0.03;0;0;0.012;0.031;0.003;-0.005
011.0077.300;2;2;11;7;E0379;222415564;14144442;1;1;2;2023-10-12 16:21:13.917;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;-1.08;0.07;-0.08;-0.02;0.083;-0.088;0.008;0.037
011.0084.300;1;6;9;7;XA9018;222415289;14126834;4;1;5;2023-10-12 19:43:05.413;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;-0.159;0.074;0;0;-0.052;-0.003;-0.012;-0.015
011.0082.300;2;2;11;7;E0432;222404521;14152397;11;2;1;2023-10-12 20:43:14.020;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0733;0.421;0.075;-0.011;0.01;-0.208;-0.084;0.025;-0.018
011.0082.300;2;2;11;7;E0488;222413733;14131673;3;1;1;2023-10-12 22:33:35.533;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0030;0.539;-0.07;0.048;-0.02;0.273;-0.103;0.02;-0.03
011.0084.300;1;6;9;7;WE9015;222412807;14126836;7;1;2;2023-10-12 23:49:57.707;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0039;0.14;0.06;0;0;0.089;0.019;0.021;-0.001
011.0070.300;2;2;11;7;E0479;222415211;14135691;9;2;2;2023-10-13 03:41:16.290;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0017;-0.08;0.06;0.007;0;0.281;0.019;0.023;0.018
011.0081.300;2;2;11;7;E0460;222413728;14131670;8;2;1;2023-10-13 11:52:08.943;FALSO;VERDADERO;FORST 1;IND-7 WALTER 700;UBR.0027;0.6;-0.18;0.06;0.02;-0.091;0.056;-0.016;0.02
011.0070.300;2;2;11;7;E0475;222416377;14144443;7;1;1;2023-10-13 12:17:28.333;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0015.01;0.9;0.08;0.06;0.11;-0.375;-0.055;-0.024;0.025
011.0077.300;2;2;11;7;E0379;DUMMY;14144442;1;2;NULL;2023-10-13 12:40:35.850;VERDADERO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;0.5;0.07;0.05;-0.02;0.189;0.055;0.056;0.05
011.0082.300;2;2;11;7;E0488;222413734;14131673;3;1;2;2023-10-13 13:20:21.560;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0030;0.7;-0.07;0.07;-0.02;0.34;-0.077;0.015;-0.032
011.0082.300;2;2;11;7;E0432;222404520;14152397;11;2;2;2023-10-13 18:57:50.723;FALSO;VERDADERO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0733;0.213;-0.009;0.014;0.01;0.001;0.013;0.007;-0.015
011.0077.300;2;2;11;7;E0379;DUMMY;14144442;1;2;NULL;2023-10-13 19:12:55.130;VERDADERO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;-0.5;0.07;-0.05;-0.02;0.189;0.055;0.056;0.05
011.0077.300;2;2;11;7;E0379;222415563;14144442;1;2;1;2023-10-13 19:19:35.210;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0014;-0.31;0.07;0.01;-0.02;0.405;0.022;0.047;0.022
011.0084.300;1;6;9;7;WE9015;222415290;14126834;7;1;3;2023-10-13 23:42:16.913;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;0.22;0.07;0;0;-0.104;0.033;-0.024;-0.03
011.0084.300;1;6;9;7;WE9015;222396225;14126836;7;1;4;2023-10-13 23:48:37.350;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0039;0.12;0.1;0;0;-0.007;-0.004;-0.002;-0.019
011.0070.300;2;2;11;7;E0450;222413274;14135691;4;1;2;2023-10-14 00:22:31.447;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0017;0.117;0.06;0.06;0;-0.072;-0.088;-0.037;0.022
011.0081.300;2;2;11;7;E0460;222413729;14131670;8;2;2;2023-10-14 03:19:46.560;FALSO;VERDADERO;FORST 1;IND-7 WALTER 700;UBR.0027;0.509;-0.124;0.06;0.02;-0.021;0.014;-0.005;0.015
011.0082.300;2;2;11;7;E0488;222405824;14152399;3;2;1;2023-10-14 10:45:38.330;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0735;0.051;-0.057;0.031;0.02;0.301;-0.064;0.035;0
011.0081.300;2;2;11;7;E0485;222413725;14131670;4;1;2;2023-10-14 12:29:04.037;FALSO;FALSO;FORST 1;IND-7 WALTER 700;UBR.0027;0.07;-0.12;0;0.02;0.119;-0.024;0.01;0.004
011.0084.300;1;6;9;7;WE9015;222415236;14126834;7;1;5;2023-10-14 13:05:11.507;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0037;0.12;0.1;-0.001;0.01;0.098;-0.007;0.022;-0.02
011.0070.300;2;2;11;7;E0475;222396125;14144443;7;1;2;2023-10-16 00:03:29.120;FALSO;FALSO;LAPOINTE;IND-5 LAPOINTE 900;UBR.0015.01;0.525;0.025;0.036;0.11;0.014;0.022;-0.01;0.065
